,neighbourhood,price,reviews_per_month,checkinsCount_poi,usersCount_poi,tipCount_poi,likes_poi,numReviews_poi,numPOIs,checkinsCount_rest,usersCount_rest,tipCount_rest,likes_rest,numReviews_rest,numRestaurants,num_stops
0,Adlershof,110.27027027027027,0.8366666666666667,674.0,173.0,1.0,0.0,1.0,28,1146.0,225.0,16.0,9.0,16.0,36,121
1,Albrechtstr.,91.82,1.28,2229.0,202.0,1.0,0.0,1.0,39,4507.0,979.0,22.0,13.0,22.0,64,114
2,Alexanderplatz,149.5500685871056,1.6585142857142858,19378.0,7214.0,97.0,77.0,97.0,114,119212.0,60204.0,783.0,1136.0,793.0,94,821
3,Allende-Viertel,44.5,1.9266666666666667,13.0,7.0,0.0,0.0,0.0,4,474.0,116.0,1.0,2.0,1.0,10,15
4,Alt  Treptow,137.9814814814815,0.6894186046511628,900.0,404.0,5.0,3.0,5.0,35,8614.0,5170.0,75.0,149.0,74.0,41,62
5,Alt-Hohenschönhausen Nord,177.15384615384616,1.231818181818182,144.0,33.0,0.0,0.0,0.0,9,615.0,94.0,0.0,2.0,0.0,15,134
6,Alt-Hohenschönhausen Süd,112.0,2.3183333333333334,603.0,190.0,6.0,5.0,6.0,14,3025.0,948.0,23.0,18.0,24.0,43,121
7,Alt-Lichtenberg,82.94117647058823,0.9017948717948718,1115.0,371.0,6.0,8.0,6.0,50,4811.0,1455.0,48.0,32.0,49.0,75,212
8,Altglienicke,69.81818181818181,1.746875,238.0,49.0,0.0,0.0,0.0,18,868.0,223.0,2.0,3.0,2.0,23,91
9,Altstadt-Kietz,90.0,2.055,170.0,41.0,1.0,0.0,1.0,15,3788.0,935.0,19.0,25.0,19.0,38,46
10,Barstraße,104.46666666666668,0.5473529411764706,290.0,196.0,3.0,1.0,3.0,19,984.0,374.0,9.0,13.0,9.0,28,87
11,Baumschulenweg,88.1304347826087,0.6751851851851852,234.0,82.0,1.0,1.0,1.0,24,3037.0,599.0,7.0,16.0,7.0,56,87
12,Biesdorf,74.79310344827586,1.12,1611.0,200.0,4.0,3.0,4.0,43,3019.0,531.0,6.0,7.0,6.0,56,167
13,Blankenburg/Heinersdorf/Märchenland,71.75,1.371875,98.0,19.0,2.0,0.0,2.0,8,950.0,269.0,3.0,4.0,3.0,35,119
14,Blankenfelde/Niederschönhausen,100.71794871794872,1.0922857142857143,273.0,65.0,1.0,0.0,1.0,26,1470.0,295.0,11.0,13.0,11.0,49,117
15,Bohnsdorf,100.0,1.4508333333333334,432.0,31.0,5.0,0.0,5.0,11,578.0,100.0,3.0,4.0,3.0,11,73
16,Britz,117.51724137931036,0.7197560975609757,1298.0,214.0,3.0,1.0,3.0,36,4271.0,1424.0,31.0,26.0,31.0,99,164
17,Brunnenstr. Nord,157.31645569620252,1.06775641025641,1473.0,702.0,10.0,4.0,10.0,47,5448.0,2819.0,35.0,40.0,35.0,42,255
18,Brunnenstr. Süd,175.52130325814537,1.0359903381642512,1439.0,349.0,16.0,10.0,17.0,40,19814.0,8583.0,234.0,222.0,235.0,42,94
19,Brunsbütteler Damm,78.2,0.7166666666666667,343.0,77.0,1.0,2.0,1.0,18,563.0,149.0,5.0,3.0,5.0,23,72
20,Buch,60.66666666666666,0.4529999999999999,40.0,24.0,0.0,1.0,0.0,9,1097.0,254.0,6.0,5.0,6.0,25,99
21,Buchholz,109.76190476190476,1.307,122.0,30.0,0.0,0.0,0.0,8,905.0,168.0,4.0,5.0,4.0,25,109
22,Buckow,69.94117647058823,0.852,125.0,35.0,2.0,0.0,2.0,14,450.0,84.0,1.0,1.0,1.0,10,58
23,Buckow Nord,60.5,0.3833333333333333,177.0,48.0,0.0,0.0,0.0,7,243.0,75.0,1.0,1.0,1.0,8,19
24,Charlottenburg Nord,174.2,1.598,1274.0,694.0,3.0,2.0,3.0,19,1875.0,1011.0,21.0,18.0,21.0,40,112
25,Dammvorstadt,103.6923076923077,0.8608333333333333,23.0,19.0,0.0,0.0,0.0,11,4093.0,983.0,16.0,38.0,17.0,42,89
26,Drakestr.,125.3095238095238,0.8137837837837838,1649.0,311.0,6.0,1.0,6.0,48,2587.0,1033.0,23.0,28.0,24.0,106,136
27,Düsseldorfer Straße,115.2485549132948,1.276376811594203,1075.0,423.0,4.0,4.0,4.0,28,5975.0,2696.0,65.0,68.0,65.0,43,193
28,Falkenhagener Feld,72.8,1.81,249.0,80.0,2.0,0.0,1.0,20,316.0,132.0,1.0,5.0,1.0,27,91
29,Fennpfuhl,104.36363636363636,0.8388235294117647,171.0,62.0,2.0,2.0,2.0,28,1125.0,663.0,18.0,15.0,18.0,26,104
30,Forst Grunewald,169.8,1.08,368.0,79.0,0.0,1.0,0.0,5,2849.0,1529.0,33.0,42.0,33.0,36,14
31,Frankfurter Allee Nord,115.8181818181818,1.0584873949579832,6821.0,1720.0,11.0,14.0,11.0,35,9904.0,2763.0,67.0,80.0,68.0,60,119
32,Frankfurter Allee Süd,116.875,1.345,1665.0,540.0,3.0,3.0,3.0,14,648.0,289.0,9.0,9.0,9.0,14,84
33,Frankfurter Allee Süd FK,119.0695825049702,1.1410733452593915,6477.0,1271.0,23.0,14.0,23.0,85,62803.0,20514.0,490.0,637.0,492.0,115,258
34,Friedenau,99.64285714285714,0.748641975308642,1755.0,401.0,3.0,4.0,3.0,57,5399.0,1465.0,18.0,18.0,19.0,71,217
35,Friedrichsfelde Nord,86.91666666666667,2.123809523809524,634.0,62.0,1.0,0.0,1.0,19,3063.0,1854.0,30.0,35.0,30.0,42,58
36,Friedrichsfelde Süd,70.6,0.8821428571428571,202.0,77.0,2.0,1.0,2.0,14,480.0,132.0,6.0,6.0,6.0,30,83
37,Friedrichshagen,122.48,0.8177272727272726,167.0,78.0,2.0,1.0,2.0,18,2911.0,1383.0,34.0,41.0,35.0,55,148
38,Gatow / Kladow,80.5,1.4838461538461538,1178.0,297.0,4.0,5.0,4.0,27,1078.0,527.0,11.0,11.0,11.0,46,90
39,Gropiusstadt,61.625,1.388,34.0,16.0,1.0,0.0,1.0,7,787.0,332.0,8.0,5.0,8.0,24,110
40,Grunewald,117.72972972972973,1.1516129032258065,1386.0,313.0,5.0,6.0,6.0,48,4105.0,1231.0,20.0,21.0,20.0,66,74
41,Grünau,95.1818181818182,1.229090909090909,152.0,83.0,1.0,0.0,1.0,8,463.0,271.0,4.0,5.0,4.0,31,96
42,Hakenfelde,92.83333333333331,1.524166666666667,399.0,120.0,1.0,1.0,1.0,20,885.0,300.0,6.0,4.0,7.0,45,57
43,Halensee,113.16666666666669,1.0710000000000002,1055.0,139.0,1.0,1.0,1.0,29,1627.0,546.0,13.0,9.0,13.0,25,36
44,Haselhorst,216.8571428571429,1.53,1772.0,1326.0,12.0,17.0,11.0,11,617.0,405.0,7.0,4.0,7.0,37,109
45,Heerstrasse,129.53125,1.1686666666666667,349.0,122.0,0.0,0.0,0.0,14,13651.0,6899.0,90.0,133.0,92.0,88,199
