bzrID,bzrNAME,GESIx_2013,GESIx_2022,ESIx_2013,ESIx_2022,DI_2013,DI_2022,DII_2013,DII_2022,DIII_2013,DIII_2022
010111,Tiergarten Süd,-1.1571627,-.51435292,-1.1446247,-.61138558,-.29034969,-.090434551,-1.9158782,-1.106649,-1.0262946,-.21657206
010112,Regierungsviertel,.78633577,.82907408,.51550847,.57332569,.68013853,.64149225,.27587137,.45982489,1.2586167,1.2998506
010113,Alexanderplatz,.34540012,.88135403,.63411289,.72193319,.54919261,.61392272,.64644963,.78025669,-.40568218,1.113534
010114,Brunnenstraße Süd,.8463884,1.2549762,.99607277,1.1070504,1.1165586,1.1488173,.74418831,.9811756,.30760807,1.3543842
010221,Moabit West,-.91724831,-.82002932,-1.0668956,-.86405975,-.79425442,-.59172559,-1.2262999,-1.0823848,-.39810136,-.55908597
010222,Moabit Ost,-.85148072,-.71353781,-1.011938,-.82678616,-.44831893,-.36750242,-1.4890383,-1.241974,-.34497342,-.32117105
010331,Osloer Straße,-2.1659219,-1.9899303,-1.9005773,-1.9018291,-2.0720387,-2.3524001,-1.4823992,-1.2923098,-2.3450477,-1.7164408
010332,Brunnenstraße Nord,-1.7718838,-1.8250844,-1.9004724,-1.8782177,-1.7729361,-1.8849245,-1.8017776,-1.7312621,-1.1172961,-1.2799964
010441,Parkviertel,-.95832962,-1.0407194,-.90052015,-1.0848511,-1.0597445,-1.0202345,-.61905825,-1.0710748,-.88829529,-.70299101
010442,Wedding Zentrum,-2.0809138,-2.0179067,-1.993762,-2.0420973,-1.7406492,-1.7676157,-2.0177083,-2.1748466,-1.8889766,-1.5421782
020101,Südliche Friedrichstadt,-2.8776863,-2.1683135,-3.31777,-2.6353457,-2.7104716,-2.1853042,-3.5564604,-2.9061377,-1.2976896,-.53201962
020202,Tempelhofer Vorstadt,-.5261367,-.15004529,-.73279059,-.43892461,-.27989012,.048408139,-1.1261036,-.9121412,.034161374,.56939936
020303,nördliche Luisenstadt,-2.5413952,-1.60461,-2.9102662,-1.795508,-1.6374271,-1.2970476,-3.9104493,-2.1791642,-1.2567251,-.81740367
020304,südliche Luisenstadt,-1.1600906,-1.0583159,-1.4148983,-1.055195,-.72635335,-.3096168,-1.9756587,-1.7505792,-.3768571,-.92924798
020405,Karl-Marx-Allee Nord,.11037305,-.0046569901,.39608648,.33916435,.16547106,.24365306,.59352261,.41304123,-.57337916,-.88407314
020407,Karl-Marx-Allee Süd,.27119023,.17227472,.29891768,.19777735,.25739512,.089091487,.30632684,.29586989,.15371446,.082030766
020506,Frankfurter Allee Nord,-.10490196,.1153386,-.051873688,.37272519,.1261396,.60339588,-.23566242,.10546997,-.22544523,-.6093092
020508,Frankfurter Allee Süd FK,-.15429725,.31782639,.32214877,.47226173,.25131387,.51136267,.3580052,.39646855,-1.2530059,-.15920396
030101,Buch,-1.3655891,-.82283103,-.61287987,-.59161294,-.93690544,-.9037258,-.19089477,-.2234925,-2.8558114,-1.1990967
030202,Blankenfelde/Niederschönhausen,.59695703,.94714689,.79456741,.93528557,.89639121,.86913985,.5875358,.93424433,-.0039603724,.77588409
030203,Buchholz,.95804632,1.0161574,.76552576,.86524069,.84320748,.89637184,.58787984,.76843077,1.2163169,1.1778891
030304,Karow,1.1816996,.84997571,1.0092573,.81695563,1.011497,.66343439,.8820852,.91544431,1.3532896,.76682574
030307,Blankenburg/Heinersdorf/Märchenland,1.2662662,1.090284,1.3369794,1.159404,1.3157537,.92401099,1.1943617,1.3173649,.8429476,.69914967
030405,Schönholz/Wilhelmsruh/Rosenthal,1.0932498,1.099357,1.0932446,1.1638581,1.0798626,1.091046,.97238022,1.1527009,.87293303,.69675183
030406,Pankow Zentrum,.48361343,.75495064,.57846022,.7341013,.48627144,.6892423,.60544378,.72595626,.16742676,.64700073
030408,Pankow Süd,.29663375,.59672147,.47395536,.67215598,.34577128,.68853301,.55231923,.60505497,-.17522812,.26581734
030509,Weißensee,-.28492016,.21543436,.21723077,.41868356,.096217304,.48544249,.31967303,.31817025,-1.4141316,-.36924726
030510,Weißensee Ost,.07588955,.18248565,.2055663,.10056427,-.18638435,.0020237865,.5989393,.19537,-.2148976,.36765754
030611,Prenzlauer Berg Nordwest,.22067153,.66230196,.48684219,.69737434,.56337327,.88649309,.34488052,.44905928,-.46531299,.39884999
030612,Prenzlauer Berg Nord,.39682311,.56674194,.45087442,.66890985,.40480369,.75896955,.44435605,.52555591,.19151869,.1633507
030613,Helmholtzplatz,.047179423,.52607352,.31181243,.4470219,.79415828,.93623781,-.24211098,-.094183594,-.63498521,.54977769
030614,Prenzlauer Berg Ost,-.13044211,-.62930346,-.0074612093,-.069739863,-.18072423,-.25897744,.17858784,.13191797,-.38232023,-1.9177084
030715,Prenzlauer Berg Südwest,.95651156,1.0452265,.86794668,.99378967,1.0812819,1.1566657,.53269613,.75062573,.95551503,.92471433
030716,Prenzlauer Berg Süd,.3849692,.83807707,.56949145,.70636815,.77440751,.92363977,.28013572,.42815524,-.15068249,.96499383
040101,Charlottenburg Nord,-.87062818,-1.0476586,-1.217397,-1.2591286,-1.5051244,-1.4095269,-.7594561,-1.0091412,.15742882,-.24536836
040202,Heerstraße,1.2837681,1.1873306,1.1478026,1.1146559,1.4340185,1.2095325,.70008105,.93307739,1.3232132,1.0993274
040203,Westend,.75608051,.99538445,.44208536,.6888814,.78420526,.86352646,.021883121,.4562254,1.3221183,1.5469307
040304,Schloß Charlottenburg,-.54535526,-.26563275,-.81415117,-.48476377,-.02316284,.19290034,-1.5586426,-1.1521591,.13785864,.27325979
040305,Mierendorffplatz,-.58550799,-.014214665,-.63189012,-.31425351,-.47784841,-.045549165,-.71835589,-.56979007,-.36957535,.73282963
040306,Otto-Suhr-Allee,-.40592968,-.1515404,-.74141389,-.50310504,-.11704373,.18966439,-1.3168713,-1.184815,.42242247,.70395434
040307,Neue Kantstraße,.62101513,.66917038,.32111412,.49109086,.48459601,.65115297,.10673769,.28831664,1.1962132,.96167147
