name,lat,lng
Altes Museum, 52.519330, 13.398531
Berghain, 52.511106, 13.442777
Berliner Dom, 52.519043, 13.400787
Bernauer Strasse, 52.534996, 13.390111
Bleibtreu, 52.500106, 13.319398
Brandenburger Tor, 52.516472, 13.377882
Cafe Kranzler, 52.504001, 13.33094
Checkpoint Charlie, 52.507240, 13.390397
East Side Gallery, 52.506135, 13.437361
Fernsehturm, 52.520821, 13.409303
Gedächtniskirche, 52.504798, 13.335317
Hackesche Höfe, 52.523814, 13.402279
Hansa-Tonstudios, 52.506389, 13.377022
Holocaust Mahnmal, 52.597709, 13.264159
KaDeWe, 52.501667, 13.341111
Kulturbrauerei, 52.538357, 13.413532
Müggelsee, 52.42716, 13.637266
Museumsinsel, 52.520754, 13.39770
Neues Museum, 52.520166, 13.397845
Neue Wache, 52.517914, 13.395583
Pfefferberg, 52.531921, 13.410866
Reichstag, 52.518631, 13.375289
Rotes Rathaus, 52.518847, 13.407943
Schloss Charlottenburg, 52.519959, 13.295728 
Weltzeituhr am Alexanderplatz, 52.522025, 13.412778
